similargrouplevel,cluster_id,store_id
421001002,4,TX5E
421001002,4,TWTE
421001002,4,TWVD
421001002,4,TX7M
421001002,4,TX6W
421001002,4,TKN7
421001002,4,TSL3
421001002,4,TOP3
421001002,4,TMD9
421001002,4,TH54
421001002,4,TGC8
421001002,4,TZZV
421001002,4,TJB9
421001002,4,TDY5
421001002,4,TKV1
421001002,4,TX22
421001002,4,TEY8
421001002,4,8287
421001002,4,TWTD
421001002,4,TSL6
421001002,4,T1CO
421001002,4,TKV7
421001002,4,TWTP
421001002,4,TSZ9
421001002,4,TSS1
421001002,4,TJM3
421001002,4,TE51
421001002,4,T83F
421001002,4,T59I
421001002,4,TSK4
421001002,4,TN05
421001002,4,T1P1
421001002,4,THA5
421001002,4,TMI9
421001002,4,9524
421001002,4,TX7N
421001002,4,TX5T
421001002,4,TTQ4
421001002,4,TJZ6
421001002,4,TTV8
421001002,4,TLM8
421001002,4,TX4Y
421001002,4,TDB6
421001002,4,TPZ4
421001002,4,TLH0
421001002,4,TQA4
421001002,4,TFK5
421001002,4,TF24
421001002,4,TSK7
421001002,4,TGV6
421001002,4,TX48
421001002,4,TGY5
421001002,4,TAIW
421001002,4,TZZW
421001002,4,TJC4
421001002,4,TCM7
421001002,4,TWWG
421001002,4,TSZ1
421001002,4,TLJ2
421001002,4,TKZ0
421001002,4,TV92
421001002,4,TXL4
